
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-nan(ind),-nan(ind)
-4765.12,-3436.91
-4303.09,-3580.17
-3771.63,-3685.87
-3288.63,-3707.28
-2807.31,-3661.8
-2276.36,-3530.18
-1829.2,-3346.4
-1360.89,-3072.51
-987.701,-2764.48
-659.463,-2408.95
-351.599,-1956.12
-141.473,-1520.21
5.89606,-1059.28
95.2644,-524.102
102.393,-45.2741
40.5417,434.65
-106.538,962.093
-304.002,1403.85
-598.331,1858.7
-914.685,2224.42
-1133.3,2424.92
-1207.25,2486.49
-1168.36,2457.96
-6504.27,-2932.47
-6128.83,-3154.41
-5750.23,-3431.69
-5414.94,-3679.69
-5013.48,-3935.29
-4626.03,-4113.37
-4162.96,-4243.45
-3689.51,-4301.22
-3263.63,-4290.85
-2792.63,-4209.76
-2383.3,-4074.08
-1956.17,-3858.43
-1608.98,-3610.84
-1266.75,-3278.47
-1006.71,-2940.81
-771.126,-2519.47
-622.565,-2124.87
-522.725,-1658.21
-495.489,-1176.74
-534.598,-752.381
-650.802,-290.766
-809.712,105.213
-961.685,379.947
-972.787,409.323
-941.209,375.619
-896.657,329.618
-849.802,283.216
-801.511,235.267
-755.924,187.728
-708.425,140.618
-661.523,94.0436
-615.379,45.7053
-570.581,-1.76412
-523.646,-49.8142
-477.239,-94.6832
