
1881.69,-327.831,18,0
-461.584,-1420.51,102,-12
-594.962,-1037.37,186,-67
-600.787,-1029.51,245,-148
-615.454,-1017.3,286,-240
-632.036,-997.781,322,-334
-653.963,-963.987,356,-429
-663.04,-939.52,386,-525
-668.67,-933.15,412,-623
-684.152,-1007.82,434,-721
-691.562,-988.148,461,-818
-678.949,-865.334,445,-916
-673.091,-971.318,369,-978
-671.749,-898.772,270,-993
-672.131,-900.621,172,-974
-684.835,-871.909,86,-922
-681.38,-842.544,33,-860
1744.2,-1196.13,30,-833
1744.13,-1213.93,63,-783
1796.52,-989.25,142,-722
1823.18,-676.231,228,-669
1810.17,-786.016,319,-627
1837.29,-553.627,416,-600
1822.91,-683.709,516,-587
1832.17,-592.999,616,-596
1808.07,-851.895,711,-628
1816.44,-767.576,795,-683
1813.66,-815.746,862,-758
1803.68,-973.23,908,-847
1749.48,-1203.38,935,-944
1758.63,-1161.54,948,-1044
-680.697,-878.359,939,-1144
-699.918,-1023.2,915,-1242
-703.799,-1048.83,884,-1337
-729.955,-1318.94,833,-1422
-737.955,-1407.21,749,-1477
-717.675,-1215.08,654,-1512
-745.98,-1471.95,555,-1530
-756.811,-1559.66,455,-1527
-737.376,-1364.75,358,-1501
-737.105,-1342.37,271,-1452
-738.244,-1346.58,201,-1379
-711.009,-1082.48,154,-1290
-708.159,-1038.75,127,-1194
-699.198,-976.136,116,-1093
-676.973,-819.287,127,-993
1745.7,-1198.92,154,-897
1746.59,-1215.14,198,-806
1798.48,-901.484,264,-730
1781.19,-1028.56,342,-667
1831.18,-619.982,427,-613
1810.84,-820.27,520,-574
1831.5,-621.181,619,-555
1839,-537.562,719,-561
1814.32,-813.473,814,-593
1821.51,-774.419,895,-652
1819.43,-791.001,956,-732
1809.8,-932.362,992,-826
1746.37,-1209.41,1009,-925
1754.84,-1185.05,1005,-1025
-678.033,-865.117,978,-1122
-707.697,-1243.36,926,-1208
-679.413,-937.166,851,-1275
-720.539,-1148.2,767,-1331
-716.855,-1225.53,677,-1376
-736.649,-1435.24,580,-1402
-717.387,-1203.54,480,-1407
-726.58,-1307.31,381,-1387
-724.709,-1266.18,292,-1340
-723.924,-1253.54,221,-1270
-696.932,-989.042,171,-1183
-697.887,-960.731,144,-1086
-683.289,-859.739,133,-986
1756.56,-1148.68,146,-886
1740.72,-1218.7,177,-790
